,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
425390,366,4,18-04-2013,517,1,0,0,0,4422
291687,394,6,11-04-2015,694,1,0,0,0,8297
411278,807,4,29-08-2013,970,1,1,0,0,9729
664714,802,2,28-05-2013,473,1,1,0,0,6513
540835,726,4,10-10-2013,1068,1,1,0,0,10882
687329,674,2,19-03-2013,1016,1,1,0,0,8406
600327,659,7,08-06-2014,0,0,0,0,0,0
96265,27,3,16-07-2014,1106,1,1,0,1,11162
364435,347,6,11-05-2013,448,1,0,0,0,5559
163146,288,2,25-06-2013,291,1,0,0,0,3997
561067,273,7,05-10-2014,0,0,0,0,0,0
431990,870,5,28-03-2014,839,1,0,0,0,6267
6368,703,6,27-09-2014,215,1,0,0,0,1953
49190,578,2,21-05-2013,824,1,0,0,0,8218
528712,447,1,01-07-2013,773,1,1,0,1,7205
256945,382,3,18-12-2013,957,1,1,0,0,14553
518014,66,3,10-06-2015,442,1,0,0,0,5188
461410,437,6,28-03-2015,1239,1,0,0,0,12770
409022,767,7,27-01-2013,0,0,0,0,0,0
290135,142,3,06-05-2015,609,1,1,0,0,4994
205320,369,4,12-06-2014,501,1,0,0,0,5709
648424,171,6,10-05-2014,641,1,0,0,0,6295
615211,499,6,27-12-2014,925,1,0,0,0,6202
557215,235,3,18-02-2015,488,1,1,0,0,6330
649140,936,1,17-02-2014,1096,1,1,0,0,9263
558538,533,3,18-09-2013,774,1,0,0,0,7304
238131,638,3,19-06-2013,533,1,1,0,0,6474
123416,632,1,30-06-2014,1142,1,1,0,0,10317
639150,849,5,06-06-2014,997,1,1,0,0,9366
617816,5,3,29-07-2015,658,1,1,0,1,5899
609322,626,4,15-05-2014,726,1,0,0,0,7565
681145,328,6,06-12-2014,402,1,0,0,0,3632
656685,943,1,09-03-2015,538,1,0,0,0,5452
308099,78,2,05-05-2015,568,1,1,0,0,4306
605423,534,7,08-06-2014,0,0,0,0,0,0
231682,514,7,09-03-2014,0,0,0,0,0,0
430362,800,5,18-10-2013,460,1,0,0,1,4120
73571,699,6,25-04-2015,791,1,0,0,0,6959
643894,632,3,04-03-2015,924,1,1,0,1,7970
357935,1043,7,18-08-2013,0,0,0,0,0,0
478398,870,5,19-06-2015,914,1,1,0,0,7323
205998,1083,1,28-10-2013,266,1,0,0,0,3506
537433,996,6,19-04-2014,655,1,0,0,0,4974
129637,716,2,15-01-2013,383,1,0,0,0,4263
366083,1093,7,06-10-2013,0,0,0,0,0,0
417290,420,2,10-02-2015,386,1,0,0,0,3397
72358,789,3,08-01-2014,541,1,1,0,0,3849
653967,924,4,26-06-2014,375,1,0,0,0,3585
582533,687,3,13-11-2013,582,1,0,0,0,5765
468393,374,2,22-04-2014,911,1,0,0,1,6487
586075,864,7,01-09-2013,0,0,0,0,0,0
60189,290,6,09-11-2013,483,1,0,0,0,4703
575512,400,3,19-11-2014,1109,1,0,0,0,7635
231973,552,5,07-03-2014,743,1,1,0,0,8788
91712,1058,5,27-03-2015,737,1,0,0,0,7721
573565,319,3,13-11-2013,816,1,0,0,0,6640
350680,929,7,01-02-2015,0,0,0,0,0,0
